,Address,Beds,Bath,Size Sqft,Lot Size,Agent Name,Agent Company,Price,Walk Score,Transit Score,Bike Score
813,"505 Westside Ave , Sunnyvale, Santa Clara County, CA, 94087",4,2.5,"2,425",NA,"David Lau, Broker Associate ",Century 21 Real Estate Alliance,"$2,799,888 USD",70,42,86
814,"1085 Tasman Dr. #836, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,716",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$329,000 USD",68,45,79
815,"581 Kirk Avenue , Sunnyvale, Santa Clara County, CA, 94085",3,3,"1,610",NA,Mike Strouf ,Intero Real Estate - The Genesis Team,"$2,189,000 USD",82,41,80
816,"1220 Tasman Dr. #247, Sunnyvale, Santa Clara County, CA, 94089",3,3,"1,539",NA,Rita Hutchins ,Alliance Manufactured Homes,"$405,000 USD",45,49,81
817,"1050 Borregas Ave. #42, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,624",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$329,000 USD",46,39,72
818,"102 Holly TER, Sunnyvale, Santa Clara County, CA, 94086",3,3,"1,740",NA,Amy Yao ,Intero Real Estate Services,"$1,598,000 USD",62,42,81
819,"1241 Heatherstone WAY, Sunnyvale, Santa Clara County, CA, 94087",2,1,"1,002",0.129 ac,Anson Ip ,Compass,"$1,759,800 USD",62,41,89
820,"1225 Vienna Drive #302 , Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,616",NA,Janet Wooldridge ,Ideal Homes,"$350,000 USD",39,42,72
821,"1268-2 Poplar AVE, Sunnyvale, Santa Clara County, CA, 94086",3,3,"1,667",0.089 ac,Hiep K. Nguyen ,Christie's International Real Estate Sereno,"$2,380,000 USD",69,42,72
822,"1220 Tasman Dr #271, Sunnyvale, Santa Clara County, CA, 94089",2,2,"1,319",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$299,000 USD",59,49,78
823,"1020 Polk AVE, Sunnyvale, Santa Clara County, CA, 94086",3,3,"1,800",0.074 ac,Leanna Scott ,KW Silicon City,"$2,285,000 USD",71,40,88
824,"1225 Vienna Dr. #990, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,120",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$249,000 USD",45,43,82
825,"248 Red Oak Drive Unit C, Sunnyvale, Santa Clara County, CA, 94086",2,1,926,NA,Dexter Lat ,Realty World One Alliance,"$724,888 USD",51,35,79
826,"1360 Road Runner TER D, Sunnyvale, Santa Clara County, CA, 94087",2,2,"1,212",NA,Fran Papapietro ,Christie's International Real Estate Sereno,"$1,048,900 USD",76,42,62
827,"440 San Eduardo TER, Sunnyvale, Santa Clara County, CA, 94085",3,4,"1,691",NA,Dedy Efendi ,Action Properties Inc,"$1,448,000 USD",71,38,81
828,"311 W Duane AVE, Sunnyvale, Santa Clara County, CA, 94085",5,4,"2,372",0.125 ac,Gene Au ,Realty World Dominion,"$2,398,000 USD",71,41,80
829,"1509 Harrison CT, Sunnyvale, Santa Clara County, CA, 94087",6,4,"2,352",0.199 ac,Tim Proschold ,Christie's International Real Estate Sereno,"$3,498,000 USD",32,28,52
830,"564 Madrone AVE, Sunnyvale, Santa Clara County, CA, 94085",3,3,"1,022",0.126 ac,Donna L. Zehner ,Realty World Trademark Prop.,"$1,199,888 USD",81,42,81
831,"691 Lakehaven DR, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,144",0.192 ac,Juliana Espinosa ,Realty ONE Group Future,"$1,640,000 USD",42,41,73
832,"1220 Vienna Drive 556, Sunnyvale, Santa Clara County, CA, 94089",3,3,NA,NA,Jonathan Minerick ,HOMECOIN.COM,"$399,000 USD",59,43,72
833,"1050 Borregas Ave. #113, Sunnyvale, Santa Clara County, CA, 94089",3,3,"1,580",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$199,000 USD",46,39,72
834,"1085 Tasman DR 140, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,260",NA,Garfield Small ,Intero Real Estate Services,"$285,000 USD",53,43,73
835,"505 Westside Ave , Sunnyvale, Santa Clara County, CA, 94087",4,2.5,"2,425",NA,"David Lau, Broker Associate ",Century 21 Real Estate Alliance,"$2,799,888 USD",70,42,86
836,"1085 Tasman Dr. #836, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,716",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$329,000 USD",68,45,79
837,"581 Kirk Avenue , Sunnyvale, Santa Clara County, CA, 94085",3,3,"1,610",NA,Mike Strouf ,Intero Real Estate - The Genesis Team,"$2,189,000 USD",82,41,80
838,"1220 Tasman Dr. #247, Sunnyvale, Santa Clara County, CA, 94089",3,3,"1,539",NA,Rita Hutchins ,Alliance Manufactured Homes,"$405,000 USD",45,49,81
839,"1050 Borregas Ave. #42, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,624",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$329,000 USD",46,39,72
840,"102 Holly TER, Sunnyvale, Santa Clara County, CA, 94086",3,3,"1,740",NA,Amy Yao ,Intero Real Estate Services,"$1,598,000 USD",62,42,81
841,"1241 Heatherstone WAY, Sunnyvale, Santa Clara County, CA, 94087",2,1,"1,002",0.129 ac,Anson Ip ,Compass,"$1,759,800 USD",62,41,89
842,"1225 Vienna Drive #302 , Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,616",NA,Janet Wooldridge ,Ideal Homes,"$350,000 USD",39,42,72
843,"1268-2 Poplar AVE, Sunnyvale, Santa Clara County, CA, 94086",3,3,"1,667",0.089 ac,Hiep K. Nguyen ,Christie's International Real Estate Sereno,"$2,380,000 USD",69,42,72
844,"1220 Tasman Dr #271, Sunnyvale, Santa Clara County, CA, 94089",2,2,"1,319",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$299,000 USD",59,49,78
845,"1020 Polk AVE, Sunnyvale, Santa Clara County, CA, 94086",3,3,"1,800",0.074 ac,Leanna Scott ,KW Silicon City,"$2,285,000 USD",71,40,88
